start station,start location,start latitude,start longitude,end station,end location,end latitude,end longitude,number of trips
211709.0,"(53.556897, 9.927945)",53.556897,9.927945,131889.0,"(53.5518, 9.93387)",53.5518,9.93387,19852
131889.0,"(53.5518, 9.93387)",53.5518,9.93387,211709.0,"(53.556897, 9.927945)",53.556897,9.927945,16055
203890.0,"(53.588735, 10.03268)",53.588735,10.03268,208307.0,"(53.584582, 10.03369)",53.584582,10.03369,15731
198077.0,"(53.567845, 9.982728)",53.567845,9.982728,198077.0,"(53.567845, 9.982728)",53.567845,9.982728,15097
140796.0,"(53.5838, 10.01)",53.5838,10.01,140796.0,"(53.5838, 10.01)",53.5838,10.01,14444
131543.0,"(53.5457, 9.9723)",53.5457,9.9723,131543.0,"(53.5457, 9.9723)",53.5457,9.9723,13928
208307.0,"(53.584582, 10.03369)",53.584582,10.03369,203890.0,"(53.588735, 10.03268)",53.588735,10.03268,13159
140800.0,"(53.5677, 10.0162)",53.5677,10.0162,140800.0,"(53.5677, 10.0162)",53.5677,10.0162,12933
131648.0,"(53.562709, 9.96099)",53.562709,9.96099,131648.0,"(53.562709, 9.96099)",53.562709,9.96099,12901
214170.0,"(53.544279, 9.980896)",53.544279,9.980896,193238.0,"(53.541838, 9.992856)",53.541838,9.992856,12793
138376.0,"(53.584, 10.0211)",53.584,10.0211,138376.0,"(53.584, 10.0211)",53.584,10.0211,12125
137995.0,"(53.572081, 9.988801)",53.572081,9.988801,131881.0,"(53.566972, 9.986076)",53.566972,9.986076,12093
138385.0,"(53.5599, 10.0149)",53.5599,10.0149,138385.0,"(53.5599, 10.0149)",53.5599,10.0149,11878
138380.0,"(53.555, 9.9914)",53.555,9.9914,138380.0,"(53.555, 9.9914)",53.555,9.9914,11864
140799.0,"(53.5696, 10.0271)",53.5696,10.0271,208292.0,"(53.575308, 10.02045)",53.575308,10.02045,11828
208292.0,"(53.575308, 10.02045)",53.575308,10.02045,140799.0,"(53.5696, 10.0271)",53.5696,10.0271,11728
131879.0,"(53.552244, 9.995501)",53.552244,9.995501,131879.0,"(53.552244, 9.995501)",53.552244,9.995501,11701
139501.0,"(53.564227, 9.96925)",53.564227,9.96925,139501.0,"(53.564227, 9.96925)",53.564227,9.96925,11663
208295.0,"(53.576238, 10.058237)",53.576238,10.058237,213833.0,"(53.573588, 10.049568)",53.573588,10.049568,11658
131543.0,"(53.5457, 9.9723)",53.5457,9.9723,193238.0,"(53.541838, 9.992856)",53.541838,9.992856,11470
131641.0,"(53.577579, 9.963063)",53.577579,9.963063,131641.0,"(53.577579, 9.963063)",53.577579,9.963063,11284
140799.0,"(53.5696, 10.0271)",53.5696,10.0271,140799.0,"(53.5696, 10.0271)",53.5696,10.0271,11256
201324.0,"(53.58006, 9.946786)",53.58006,9.946786,201324.0,"(53.58006, 9.946786)",53.58006,9.946786,10469
140793.0,"(53.588918, 9.975715)",53.588918,9.975715,139508.0,"(53.5832, 9.98441)",53.5832,9.98441,10341
131890.0,"(53.558869, 9.963824)",53.558869,9.963824,131890.0,"(53.558869, 9.963824)",53.558869,9.963824,10281
131547.0,"(53.5542, 9.96246)",53.5542,9.96246,131547.0,"(53.5542, 9.96246)",53.5542,9.96246,10234
